season,round,delta_adjoe,delta_adjde,delta_sos,seed_gap,delta_win_pct_last10,label
2008,2,-1.7721227268590383,3.811261490288686,0.14932934009542087,8,-0.19999999999999996,0
2008,2,4.64058023279884,6.8168742772389805,0.007094853842189552,3,0.10000000000000009,1
2008,2,9.186858283796411,5.0489099890967,-0.012880165697969126,7,0.20000000000000007,1
2008,2,12.096074205656777,2.6321868066148397,0.038872031011196406,8,0.5,1
2008,2,0.3712425374974657,3.2039118470016206,0.11055922427082876,5,-0.09999999999999998,1
2008,2,9.030201431069884,1.3217818068148546,0.04865902395057753,5,0.10000000000000009,1
2008,2,-0.9165678038542353,-5.548500198839491,-0.21619976528666418,-1,0.20000000000000007,0
2008,2,9.7169533356996,-1.2391171322379364,-0.0658090672729813,1,0.09999999999999998,1
2008,3,-2.5526365079368816,5.10384355199902,0.010066759870454911,-1,0.0,1
2008,3,-9.525666058095098,2.0902840408221266,-0.05182526763537887,-3,-0.30000000000000004,0
2008,3,6.400867111482313,8.74312563369972,0.22000122864382043,11,0.09999999999999998,1
2008,3,-1.7453317673891746,0.645609373815617,0.008003102732671352,-4,-0.10000000000000009,0
2008,3,2.1635810198977765,-6.2736067853094255,-0.1459373872745382,-7,0.0,1
2008,3,-13.50769655724396,-7.996110637293725,-0.0024063212617996266,-11,-0.20000000000000007,0
2008,3,2.3448255779976392,6.66681182350024,-0.04712239574410404,4,0.4,1
2008,3,7.806187968736239,-3.979970157695192,0.012704908227260114,1,0.20000000000000007,1
2008,4,-10.809250668076174,5.383206207323525,-0.013019663041840879,-2,-0.19999999999999996,0
2008,4,-0.6252661426970576,-6.558113807626555,-0.01986922798312951,-2,-0.19999999999999996,0
2008,4,-6.635900368914648,-6.155292149986195,-0.16126029618697946,-9,0.19999999999999996,0
2008,4,3.594271262691734,-7.793713930643321,0.04912289631385236,-1,-0.09999999999999998,0
2008,5,1.5374323044896556,-6.382973818208399,0.022807135968152648,0,0.19999999999999996,0
2008,5,-0.8132252109925702,-0.7585284920546371,0.03828520613498687,0,0.09999999999999998,0
2008,6,-4.376993480482156,-0.49721853672818384,-0.04943636427411435,0,0.09999999999999998,0
2009,0,-2.1145430727479635,-0.47030737089559693,-0.15835093148534052,0,0.30000000000000004,0
2009,1,13.222666546603776,20.843388891503736,0.2680335653173156,15,0.0,1
2009,1,16.03474540596521,8.97757614861328,0.344075319540033,13,-0.19999999999999996,1
2009,1,-14.022157674366994,-3.0920945633188666,-0.12194965218832765,-9,-0.20000000000000007,0
2009,1,2.3110670272919975,-1.5432518261974195,0.03483188644526969,1,0.0,1
2009,1,-6.4290787377794345,3.178402652287545,0.006979617788852477,-3,-0.09999999999999998,1
