rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
21,Arkansas,SEC,20-7,128.66025061498533,5,102.88701832198373,60,0.9289554064239142,21,22.29616206125352,8.703837938746478,12.296162061253522,5.703837938746478,4-Oct,0.7102459409911278,0.5797758724776828,0.8313967188964695,0.7325765132090589,0.5797758724776829,0.8429325315150525,0.6306048978284167,0.7020294565408233,117.69269268466863,105.44842168144861,118.45954329483008,104.95800839642989,129.03202869613017,102.98106031458313,127.06560815888349,100.67966480812053,0.9356398928284753,14,0.033203662,1251,1142,1013.9624999999999,1.2337734383668038,1.1262743937768904,0.8833078756800932,0.7142857142857143,4.438573944214864,22,107,70.41044767995676
22,Saint Louis,A10,25-2,122.20831635113737,32,99.63023573731056,30,0.9128552033454423,22,28.405723117558395,2.594276882441606,16.405723117558395,1.5942768824416058,13-1,0.4885057876766866,0.38820783563327904,0.5816396002884222,0.4950821587538777,0.38820783563327904,0.5722691698965322,0.8586673094188355,0.8933403645706697,108.57866049229003,108.28491372216072,108.68837459824911,108.27661459051396,122.4377084671084,98.82713498,101.72989103015689,80.71556422377881,0.9346846513926146,2,0.048693957,1205,973,1001.075,1.2037060160327646,0.9719551482156681,0.5394726635249169,0.9285714285714286,3.1153340510925274,27,75,71.72877934792717
23,N.C. State,ACC,19-8,123.4820502589195,23,101.02922404128529,38,0.909528281,23,21.15404262,9.845957377000799,12.154042622999201,5.845957377000799,4-Oct,0.687379509,0.5822445627620522,0.7850048152937024,0.707790763,0.5822445627620522,0.7984630192783698,0.6862879014549468,0.7858973971543067,115.07405524893498,105.78900139186653,115.63450045696196,105.00138961903036,123.90193563660428,101.088639,126.0491225,102.88995892373224,0.9117050648332866,11,-0.025343367,1143,1054,979.0624999999999,1.167443345036706,1.0765400574529207,0.8455667332247062,0.7142857142857143,1.8948840849981972,36,237,68.96143752792644
24,Utah St.,MWC,23-4,124.45810241184148,19,102.06000310354129,46,0.9073496043192188,24,25.802398242287065,5.197601757712933,15.802398242287069,4.197601757712932,13-3,0.6058119015087611,0.5183143304312414,0.6659664816245559,0.6288727789705139,0.5183143304312414,0.6896799256671139,0.7839340284243571,0.8519674300590857,112.68386482846066,106.9590427626682,112.84375711702627,106.19903824114894,125.31677629878027,101.11190424023731,118.55194625826702,98.78238815233298,0.8907054083460183,7,0.041710889040410315,1325,1113,1076.6000000000001,1.2307263607653722,1.0338101430429127,0.7845337018373458,0.8125,3.2903989308967607,26,91,67.6266283
25,BYU,B12,20-7,126.06749862501539,10,103.48791960392471,70,0.9063337486605008,25,22.328356676491733,8.671643323508267,10.328356676491733,7.671643323508269,6-Aug,0.717556913,0.5968747621479262,0.8296189098887936,0.7354641823043628,0.5968747621479262,0.835556541,0.6332590842359443,0.7529090012241012,116.00850251490604,103.45477921283488,116.12943583165242,102.91107061634757,125.98932427676846,104.98740389761818,125.94385486740983,100.52165431255135,0.9303983772471236,12,0.086087575,1173,1141,1004.1875,1.1681085454658617,1.1362419866807743,0.8563382512672753,0.5714285714285714,4.615581901723145,17,23,69.53757712542075
26,Iowa,B10,19-8,122.59879862208308,28,100.77151902243648,34,0.9050557585673955,26,20.956548006750396,10.043451993249606,10.956548006750394,9.043451993249606,7-Sep,0.6500198414405632,0.40482175397128645,0.818593527,0.6769817580123653,0.40482175397128645,0.8266697602349588,0.6518426606509122,0.8508082295037792,114.47785394603031,105.77767857054484,115.4226031449213,105.02872284221606,120.5838938317482,101.60825377627913,120.15297387967263,99.28291769525367,0.899719349,11,0.018101971,1131,1112,1006.1249999999999,1.1241147968691765,1.1052304634116041,0.8589746948720296,0.5625,2.473915852715067,31,136,63.011965453737204
27,Wisconsin,B10,19-8,125.34573075678429,15,103.06333254604442,64,0.9047297768065751,27,21.27780219,9.722197812,13.27780219,6.722197811833801,5-Nov,0.6949426328468699,0.4864495834031681,0.8382816043394151,0.7064995452819802,0.4864495834031681,0.8275270243153272,0.6496160558484773,0.8320080504056322,116.15996070220078,104.5555351846022,116.55325279344014,104.31501522517462,127.9981895351183,103.18157795456264,125.05743690007836,103.70360085278627,0.8959690406594492,13,0.032809551,1305,1259,1104.25,1.1817976001811183,1.1401403667647725,0.7845087042189751,0.6875,3.011066480392768,28,109,68.97290989543143
28,North Carolina,ACC,22-6,122.50592690402856,29,100.78847565121829,35,0.9041366700421282,28,23.60871018527695,7.391289814723045,11.608710185276955,6.391289814723045,5-Oct,0.6736379103247405,0.5309883377083643,0.7972675399256005,0.6921781719398142,0.5309883377083644,0.808593052,0.6771655066560178,0.7932746383831764,114.80126673046087,105.32519489132343,115.23241040065474,104.60584359209251,123.78456651618164,103.10970760424821,120.17041048573752,101.93563562149136,0.8690455705328354,12,0.085540549,1199,1155,1032.2625,1.1615262590668556,1.1189014422203654,0.865220614,0.6666666666666666,4.5840087938853875,19,25,67.46922171322494
29,Santa Clara,WCC,23-6,123.57922781411554,22,102.34568799801986,53,0.8973436902475587,29,24.304818682572687,6.695181317427311,15.304818682572689,2.695181317427311,14-2,0.5839646664879699,0.553754059,0.6085107852408242,0.58906932,0.553754059,0.6145747856061152,0.7844588977566571,0.8011156449683482,111.80343358589323,106.54351848006523,111.96813388192574,106.40781660990021,125.68686082349916,102.03312812451715,121.7718289792801,100.06140827747028,0.9053552525481126,6,0.003665496,1409,1172,1147.0750000000003,1.2283416515920926,1.0217291807423226,0.6630867885284429,0.875,1.8600101162689078,37,171,69.88775220634025
30,Indiana,B10,17-10,123.44653737456466,24,102.28554349265566,52,0.8968271965975116,30,19.477257479211126,11.522742520788874,10.477257479211126,9.522742520788874,8-Aug,0.6716999388609179,0.4349148150544066,0.8344897114778945,0.6921703196978893,0.4349148150544066,0.8336608472518051,0.6500364994731929,0.8439068994780772,115.92800366916083,105.03765058343113,116.19956147657807,104.57462808642721,124.99684656595652,104.37186487698962,116.75324406527115,103.61972571125214,0.797759911,13,-0.018972568,1229,1234,1067.8375,1.1509241808795814,1.1556065412574479,0.8303453903474471,0.5,1.1155051209176847,45,225,66.31639786767755
31,Saint Mary's,WCC,25-4,119.31510461045514,52,98.99434019192685,28,0.8953984463453478,31,26.13668956137776,4.863310438622239,15.13668956137776,2.8633104386222397,14-2,0.5652155032847582,0.553401241,0.5748145910945673,0.5864179211933517,0.553401241,0.6102633010693883,0.7920475596827116,0.8240944234349445,110.98447241970497,106.60209037624638,111.64097228185074,106.17225237686519,120.45284427253159,99.40144779,103.50624817053851,97.20505879800714,0.6731146292619434,3,0.061453238,1247,1028,1048.8875,1.1888786929008115,0.9800860435461382,0.8938529808679562,0.875,3.3184966002377845,24,52,65.39604406142834
32,Villanova,BE,21-6,121.46954375465651,35,100.85425420074978,37,0.8946224179774814,32,23.62151513523696,7.378484864763037,14.621515135236963,5.378484864763037,4-Dec,0.6904034230112257,0.563303925,0.7777843281118594,0.6998707332602899,0.563303925,0.7749824779777822,0.7038334343427183,0.770427634,115.15837351309663,105.0780360790056,115.24186227255906,104.78707763468343,120.49822694881928,99.64210274136693,116.15141508306692,96.233921,0.8969047623131592,9,0.077264968,1219,1143,1076.9375,1.1319134118739482,1.0613429284429226,0.7637750774414731,0.75,3.8302145925184514,23,33,63.93301048189788
